,director,count,total_revenue,avg_revenue
2042,Stephen Hopkins,7,378283850,54040550.0
2127,James Wan,7,2384532194,340647456.28571427
2163,Richard LaGravenese,4,270961051,67740262.75
2209,Jan de Bont,5,1257122028,251424405.6
2226,Sydney Pollack,7,863461168,123351595.42857143
2228,Sean Penn,3,85846267,28615422.333333332
2239,Anthony Minghella,3,533788199,177929399.66666666
2291,Paul McGuigan,4,149002735,37250683.75
2294,Robert Rodriguez,15,1084861684,72324112.26666667
2303,Wim Wenders,3,20006813,6668937.666666667
2352,Jean-Jacques Annaud,14,589840184,42131441.71428572
2388,Jonathan Frakes,11,606629901,55148172.81818182
2419,Jean-Pierre Jeunet,6,362949541,60491590.166666664
2460,Randall Wallace,3,276245117,92081705.66666667
2461,Mel Gibson,4,1117377064,279344266.0
2523,Stuart Baird,3,291649447,97216482.33333333
2675,Darren Lynn Bousman,3,456154541,152051513.66666666
2690,Peter Weir,7,814102327,116300332.42857143
2710,James Cameron,8,5900610310,737576288.75
2836,Kimberly Peirce,3,105142025,35047341.666666664
2945,Stephen Gaghan,3,111946395,37315465.0
3026,Rob Reiner,13,958744113,73749547.15384616
3045,P.J. Hogan,4,544715998,136178999.5
3055,David Mackenzie,3,40149937,13383312.333333334
3224,Stephen Frears,9,379987829,42220869.88888889
3227,Steve Pink,4,164394606,41098651.5
3288,Chris Weitz,5,1448304582,289660916.4
3289,Paul Weitz,5,371221735,74244347.0
3388,James L. Brooks,4,469137689,117284422.25
3415,Jerry Zucker,4,738557309,184639327.25
3556,Roman Polanski,8,329536128,41192016.0
3893,David S. Goyer,3,232229529,77409843.0
3950,Len Wiseman,4,789382796,197345699.0
3974,Miloš Forman,5,130288038,26057607.6
4014,Paul W.S. Anderson,11,1614104366,146736760.54545453
4027,Frank Darabont,4,407355217,101838804.25
4037,Ron Shelton,5,173556863,34711372.6
4135,Robert Redford,4,305037662,76259415.5
4429,Jim Jarmusch,3,49910649,16636883.0
4499,Tom Shadyac,7,1450885493,207269356.14285713
4600,Joe Dante,7,382223637,54603376.71428572
4610,John Landis,8,578997826,72374728.25
4723,Brian Helgeland,5,428667607,85733521.4
4755,David R. Ellis,5,405164703,81032940.6
4762,Paul Thomas Anderson,7,225353702,32193386.0
4945,Joe Johnston,7,1408646142,201235163.14285713
4956,Bernardo Bertolucci,4,66038618,16509654.5
5065,David Frankel,6,779778932,129963155.33333333
5140,Wes Craven,13,815803405,62754108.07692308
5174,Barry Sonnenfeld,10,2348927625,234892762.5
5216,Gus Van Sant,9,442038854,49115428.222222224
5231,Wolfgang Petersen,10,1815827693,181582769.3
5281,Spike Lee,13,391399127,30107625.153846152
5292,Denzel Washington,3,118008491,39336163.666666664
5306,Lasse Hallström,11,859934373,78175852.0909091
5342,Mike Nichols,6,613696026,102282671.0
5345,Bennett Miller,3,171387346,57129115.333333336
5367,Zach Braff,3,116883563,38961187.666666664
5501,Gary Fleder,6,294084265,49014044.166666664
